Gene stable ID,Gene name,Chromosome/scaffold name
ENSG00000290825,DDX11L2,1
ENSG00000223972,DDX11L1,1
ENSG00000227232,WASH7P,1
ENSG00000278267,MIR6859-1,1
ENSG00000243485,MIR1302-2HG,1
ENSG00000284332,MIR1302-2,1
ENSG00000237613,FAM138A,1
ENSG00000268020,OR4G4P,1
ENSG00000290826,,1
ENSG00000240361,OR4G11P,1
ENSG00000186092,OR4F5,1
ENSG00000238009,,1
ENSG00000239945,,1
ENSG00000233750,CICP27,1
ENSG00000268903,,1
ENSG00000269981,,1
ENSG00000239906,,1
ENSG00000241860,,1
ENSG00000222623,RNU6-1100P,1
ENSG00000241599,,1
ENSG00000279928,DDX11L17,1
ENSG00000279457,WASH9P,1
ENSG00000273874,MIR6859-2,1
ENSG00000292994,,1
ENSG00000228463,,1
ENSG00000286448,,1
ENSG00000236679,RPL23AP24,1
ENSG00000236601,,1
ENSG00000290385,,1
ENSG00000269732,WBP1LP7,1
ENSG00000284733,OR4F29,1
ENSG00000237094,,1
ENSG00000233653,CICP7,1
ENSG00000250575,,1
ENSG00000278757,U6,1
ENSG00000293331,,1
ENSG00000235146,,1
ENSG00000225972,MTND1P23,1
ENSG00000225630,MTND2P28,1
ENSG00000237973,MTCO1P12,1
ENSG00000278791,,1
ENSG00000229344,MTCO2P12,1
ENSG00000240409,MTATP8P1,1
ENSG00000248527,MTATP6P1,1
ENSG00000198744,MTCO3P12,1
ENSG00000268663,WBP1LP6,1
ENSG00000284662,OR4F16,1
ENSG00000230021,,1
ENSG00000229376,CICP3,1
ENSG00000291215,,1
ENSG00000223181,RNU6-1199P,1
ENSG00000229905,,1
ENSG00000228327,,1
ENSG00000237491,LINC01409,1
ENSG00000285268,,1
ENSG00000290784,,1
ENSG00000230092,,1
ENSG00000177757,FAM87B,1
ENSG00000225880,LINC00115,1
ENSG00000228794,LINC01128,1
ENSG00000288531,,1
ENSG00000230368,FAM41C,1
ENSG00000234711,TUBB8P11,1
ENSG00000283040,,1
ENSG00000272438,,1
ENSG00000223764,LINC02593,1
ENSG00000187634,SAMD11,1
ENSG00000188976,NOC2L,1
ENSG00000187961,KLHL17,1
ENSG00000187583,PLEKHN1,1
ENSG00000187642,PERM1,1
ENSG00000272512,,1
ENSG00000188290,HES4,1
ENSG00000187608,ISG15,1
ENSG00000231702,,1
ENSG00000224969,,1
ENSG00000188157,AGRN,1
